column,pct_missing,n
entity_id,0.0,72174
source,0.0,72174
source_native_id,0.0,72174
entity_type,0.0,72174
name_or_title,1.0,72174
description_text,1.0,72174
url,1.0,72174
created_at,0.0,72174
retrieved_at,0.0,72174
author_handle,1.0,72174
maker_count,1.0,72174
metric_primary,0.5298861085709535,72174
metric_secondary,1.0,72174
revenue_signal,1.0,72174
category_raw,1.0,72174
structural_signal,0.3443068140881758,72174
intentional_signal,1.0,72174
leverage_signal,1.0,72174
is_solopreneur_candidate,0.3443068140881758,72174
labeling_method,0.0,72174
raw_source_path,0.0,72174
