column,pct_missing,n
entity_id,0.0,23224
source,0.0,23224
source_native_id,0.0,23224
entity_type,0.0,23224
name_or_title,0.0,23224
description_text,1.0,23224
url,0.0,23224
created_at,0.0,23224
retrieved_at,0.0,23224
author_handle,1.0,23224
maker_count,1.0,23224
metric_primary,1.0,23224
metric_secondary,1.0,23224
revenue_signal,1.0,23224
category_raw,1.0,23224
structural_signal,1.0,23224
intentional_signal,1.0,23224
leverage_signal,1.0,23224
is_solopreneur_candidate,1.0,23224
labeling_method,1.0,23224
raw_source_path,0.0,23224
